Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals) "
374.0,189.2,0.0,170.1,10.1,926.1,756.7,3,34.39795764
229.97,0.0,118.31,195.47,4.63,1029.4,758.59,14,20.08443588
225.0,0.0,0.0,181.0,0.0,1113.0,833.0,7,11.1695112
198.6,132.4,0.0,192.0,0.0,978.4,825.5,90,38.074243672
251.37,0.0,118.27,188.45,6.35,1028.4,757.73,14,24.42813468
228.0,342.1,0.0,185.7,0.0,955.8,674.3,7,21.917063088
300.0,0.0,0.0,184.0,0.0,1075.0,795.0,7,15.57526284
213.72,98.05,24.51,181.71,6.86,1065.8,785.38,28,45.70536404
393.0,0.0,0.0,192.0,0.0,940.6,785.6,90,48.846616696
254.0,0.0,0.0,198.0,0.0,968.0,863.0,3,9.307926
170.3,155.5,0.0,185.7,0.0,1026.6,724.3,7,10.730314988
307.0,0.0,0.0,193.0,0.0,968.0,812.0,365,36.14922668
142.0,167.0,130.0,174.0,11.0,883.0,785.0,28,44.6090972
213.5,0.0,174.24,159.21,11.66,1043.6,771.9,100,52.95865156
297.8,137.2,106.9,201.3,6.0,878.4,655.3,28,53.524711356
276.4,116.0,90.3,179.6,8.9,870.1,768.3,28,44.284354004
252.1,97.1,75.6,193.8,8.3,835.5,821.4,28,33.399596392
165.0,0.0,150.0,182.0,12.0,1023.0,729.0,28,18.0297974
332.5,142.5,0.0,228.0,0.0,932.0,594.0,28,33.01900564
318.0,0.0,126.0,210.0,6.0,861.0,737.0,28,40.0585556
141.3,212.0,0.0,203.5,0.0,971.8,748.5,3,4.827710952
167.35,129.9,128.62,175.46,7.79,1006.3,746.6,3,14.94094492
